degree,specialization,skills,certifications,cgpa,graduation_year,internship_experience,job_role
LLM,International Law,"Problem Solving, Communication",None,8.7,2025,0,International Lawyer
B.Sc,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,6.98,2024,0,Research Scientist
MCA,Computer Applications,"React, Communication, JavaScript, WordPress, HTML, PHP",None,7.98,2026,1,Web Developer
B.Sc,Statistics,"SQL, Excel, Python",None,7.47,2025,1,Data Analyst
B.Sc,Chemistry,"Organic Chemistry, Spectroscopy, Lab Safety, Chromatography, Communication",None,6.42,2026,0,Chemist
BBA,Marketing,"Google Ads, Content Creation, Email Marketing, Social Media, SEO",None,7.89,2026,0,Digital Marketer
BBA,Finance,"Financial Modeling, Valuation, SAP",None,6.09,2025,1,Financial Analyst
M.Tech,Mechanical Engineering,"Ansys, AutoCAD, Manufacturing",None,8.93,2026,1,Mechanical Engineer
M.Tech,AI,"Deep Learning, TensorFlow, Python",None,6.94,2026,0,AI Engineer
MBBS,Pediatrics,"Problem Solving, Communication",None,7.74,2025,0,Pediatrician
MBA,Business Analytics,"SQL, Tableau, Statistics, Power BI",Tableau Desktop Specialist,7.84,2027,0,Data Analyst
B.Sc,Mathematics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.19,2025,0,Teacher
B.Pharm,Pharmacy,"Pharmacology, Drug Safety, Patient Counseling, Dispensing, Communication",None,8.2,2026,0,Pharmacist
M.Com,Finance,"Valuation, Excel, Accounting",CPA,6.93,2023,0,Financial Analyst
MBBS,General Medicine,"Health Promotion, Patient Care, Diagnosis, Communication, Medicine",None,8.55,2024,1,General Practitioner
B.Com,Accounting,"Auditing, Excel, Taxation, Tally",None,5.88,2025,1,Accountant
B.Com,Banking,"Problem Solving, Communication",None,7.65,2024,1,Banking Officer
BA,Sociology,"Problem Solving, Communication",None,9.83,2026,1,Social Researcher
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,6.3,2027,0,Pharmaceutical Chemist
LLM,International Law,"Problem Solving, Communication",None,6.69,2023,1,International Lawyer
M.Sc,Physics,"Data Analysis, Technical Writing, Lab Techniques, Research, Communication",None,8.12,2024,1,Research Scientist
LLB,Constitutional Law,"Problem Solving, Communication",None,7.72,2025,1,Constitutional Lawyer
LLB,Criminal Law,"Problem Solving, Communication",None,7.92,2026,1,Public Defender
M.Com,Accounting,"QuickBooks, Excel, Taxation, Tally",None,8.09,2027,0,Accountant
B.Com,Accounting,"Communication, Auditing, Excel, Taxation",None,8.26,2026,0,Accountant
M.Com,Finance,"Financial Modeling, Excel, SAP",CFA,8.83,2026,1,Financial Analyst
MA,Psychology,"Problem Solving, Communication",None,7.99,2023,1,Counselor
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,7.21,2027,0,Surgeon
BCA,Computer Applications,"HTML, React, CSS, JavaScript",None,8.31,2025,1,Web Developer
BBA,Human Resources,"Recruitment, Employee Relations, Conflict Resolution, HRIS, Payroll",SHRM-CP,9.78,2026,1,HR Manager
BA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,7.34,2026,1,Psychologist
BA,Economics,"Problem Solving, Communication",None,6.33,2024,1,Policy Analyst
M.Com,Accounting,"Problem Solving, Communication",None,8.83,2026,1,Auditor
M.Com,Accounting,"Problem Solving, Communication",None,7.36,2026,1,Auditor
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,5.0,2024,0,Software Developer
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,8.52,2024,0,Criminal Lawyer
PhD,Mathematics,"SPSS, Statistical Modeling, R",None,6.86,2024,0,Statistician
M.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Ansys, Thermodynamics, Manufacturing",None,7.39,2024,0,Mechanical Engineer
M.Tech,Data Science,"Pandas, Machine Learning, Data Visualization, R",Azure Data Scientist,7.9,2026,1,Data Scientist
B.Tech,AI,"Pandas, Statistics, Python, Scikit-learn",AWS Machine Learning,7.73,2026,1,Machine Learning Engineer
MA,Sociology,"Problem Solving, Communication",None,8.35,2026,0,Social Researcher
PhD,Computer Science,"C++, Data Structures, Java, Algorithms",Google Cloud,6.98,2023,1,Software Engineer
MBBS,Pediatrics,"Problem Solving, Communication",None,8.12,2027,0,Pediatrician
M.Tech,Data Science,"Pandas, Data Visualization, Big Data, R",Google Data Analytics,7.19,2024,1,Data Scientist
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.39,2027,0,Pharmaceutical Chemist
B.Sc,Statistics,"Excel, Tableau, SQL, Statistics, Communication",None,8.24,2025,0,Data Analyst
BCA,Computer Applications,"SQL, Java, .NET, Communication",None,6.38,2026,0,Software Developer
M.Tech,Data Science,"Big Data, Pandas, Communication, Machine Learning, Data Visualization, R",None,8.8,2026,0,Data Scientist
M.Sc,Statistics,"Probability, Statistical Modeling, Communication, SAS, SPSS, R",None,6.86,2027,1,Statistician
B.Tech,AI,"PyTorch, Deep Learning, TensorFlow",None,8.47,2024,0,AI Engineer
LLM,Corporate Law,"Problem Solving, Communication",None,7.94,2026,0,Legal Advisor
M.Com,Finance,"Auditing, Excel, Taxation",CPA,9.71,2027,1,Accountant
MBBS,Surgery,"Problem Solving, Communication",None,7.23,2027,1,Medical Researcher
B.Sc,Statistics,"Statistical Modeling, R, Probability",None,7.08,2024,0,Statistician
B.Com,Accounting,"Problem Solving, Communication",None,7.48,2026,1,Auditor
MCA,Computer Applications,"React, CSS, JavaScript, HTML, PHP",None,7.14,2027,1,Web Developer
MBA,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",CPA,8.46,2025,0,Financial Analyst
BCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,5.56,2026,1,Software Developer
BBA,Human Resources,"HRIS, Conflict Resolution, Communication, Recruitment",SHRM-CP,6.24,2024,0,HR Manager
M.Arch,Urban Planning,"Problem Solving, Communication",None,6.22,2026,0,Urban Planner
M.Tech,Mechanical Engineering,"Communication, Ansys, SolidWorks, Manufacturing",None,8.64,2026,0,Mechanical Engineer
M.Sc,Chemistry,"Organic Chemistry, Chromatography, Lab Safety, Communication",None,9.55,2027,1,Chemist
BBA,Marketing,"Social Media, Content Creation, SEO",Google Ads,7.37,2025,1,Digital Marketer
M.Com,Accounting,"Excel, Tally, Taxation, Auditing, QuickBooks",None,7.3,2025,0,Accountant
B.Tech,Data Science,"Excel, Tableau, SQL, Statistics, Power BI",None,7.58,2023,1,Data Analyst
MA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Counseling",None,8.89,2024,1,Psychologist
PhD,Physics,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,6.39,2025,0,Teacher
M.Sc,Data Science,"Excel, Python, Power BI",Azure Data Scientist,7.79,2024,0,Data Analyst
B.Pharm,Pharmacy,"Patient Counseling, Drug Safety, Dispensing, Pharmacology",None,8.67,2025,0,Pharmacist
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,8.1,2026,1,Pharmaceutical Chemist
M.Sc,Physics,"Lab Techniques, Data Analysis, Technical Writing",None,7.73,2026,1,Research Scientist
PhD,Physics,"Excel, Statistics, Python, Communication",None,8.7,2026,1,Data Analyst
M.Sc,Physics,"Classroom Management, Curriculum Design, Communication",None,5.0,2023,0,Teacher
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.31,2027,1,Urban Planner
B.Tech,Computer Science,"MongoDB, HTML, JavaScript",Oracle Java,6.72,2027,0,Full Stack Developer
B.Tech,Computer Science,"MongoDB, CSS, JavaScript",Google Cloud,5.3,2026,0,Full Stack Developer
MA,English,"Creative Writing, Editing, Blogging, SEO",None,8.11,2026,1,Content Writer
B.Sc,Chemistry,"Problem Solving, Communication",None,9.15,2026,1,Lab Technician
M.Sc,Chemistry,"Lab Safety, Chromatography, Spectroscopy",None,7.34,2025,0,Chemist
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,8.64,2024,0,Software Developer
B.Tech,Computer Science,"SQL, Java, Data Structures, Algorithms",Oracle Java,9.43,2027,0,Software Engineer
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,9.08,2024,1,Surgeon
M.Arch,Urban Planning,"Problem Solving, Communication",None,9.47,2026,1,Urban Planner
B.Pharm,Pharmacy,"Patient Counseling, Drug Safety, Dispensing, Pharmacology",None,8.39,2024,1,Pharmacist
PhD,Biotechnology,"Problem Solving, Communication",None,7.59,2025,0,Lab Manager
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,5.58,2027,1,Surgeon
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.2,2026,1,Urban Planner
M.Sc,Biotechnology,"Problem Solving, Communication",None,6.49,2026,0,Lab Manager
MA,English,"Creative Writing, Research, Editing",None,9.9,2024,1,Content Writer
MBBS,Pediatrics,"Problem Solving, Communication",None,7.29,2025,1,Pediatrician
LLB,Corporate Law,"Drafting, Contract Law, Mergers, Compliance, Corporate Law",None,7.65,2026,1,Corporate Lawyer
B.Tech,Civil Engineering,"Problem Solving, Communication",None,8.16,2025,1,Structural Engineer
M.Sc,Chemistry,"Problem Solving, Communication",None,7.55,2026,0,Lab Technician
M.Sc,Data Science,"Big Data, Pandas, Python, Machine Learning, R",Azure Data Scientist,9.53,2023,1,Data Scientist
B.Arch,Architecture,"3D Modeling, Revit, AutoCAD, SketchUp",None,6.75,2023,1,Architect
LLM,Corporate Law,"Drafting, Contract Law, Mergers, Compliance",None,7.73,2025,0,Corporate Lawyer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.61,2026,1,Sustainable Design Consultant
B.Pharm,Pharmacy,"Problem Solving, Communication",None,5.92,2026,0,Drug Safety Associate
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.77,2024,1,Green Building Analyst
LLM,Intellectual Property Law,"Problem Solving, Communication",None,7.46,2025,1,IP Consultant
M.Arch,Urban Planning,"Problem Solving, Communication",None,6.98,2026,0,Urban Planner
B.Arch,Interior Design,"Problem Solving, Communication",None,6.67,2023,0,Space Planner
LLM,Corporate Law,"Problem Solving, Communication",None,5.81,2025,0,Legal Advisor
MCA,Computer Applications,"WordPress, React, Communication, JavaScript",None,7.4,2025,0,Web Developer
MBBS,Pediatrics,"Problem Solving, Communication",None,5.69,2025,0,Pediatrician
B.Tech,Civil Engineering,"AutoCAD, Structural Analysis, Revit, Staad Pro, Communication",None,8.41,2024,1,Civil Engineer
MCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.6,2025,1,Software Developer
MA,Psychology,"Research, Behavioral Analysis, Communication, Counseling",None,5.75,2026,0,Psychologist
B.Arch,Architecture,"3D Modeling, Revit, AutoCAD, Building Codes",None,7.13,2024,0,Architect
B.Com,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",FRM,6.6,2025,1,Investment Analyst
LLB,Criminal Law,"Criminal Law, Court Procedures, Litigation",None,7.88,2024,1,Criminal Lawyer
BA,Psychology,"Counseling, Behavioral Analysis, Research, Psychotherapy, Communication",None,9.11,2023,0,Psychologist
B.Arch,Architecture,"Problem Solving, Communication",None,5.25,2024,0,Project Manager
BBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research, Communication",None,7.64,2024,0,Investment Analyst
B.Sc,Chemistry,"Problem Solving, Communication",None,7.31,2025,1,Lab Technician
BCA,Computer Applications,".NET, C#, Object Oriented Programming",None,8.31,2025,1,Software Developer
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Building Codes",None,7.76,2026,1,Architect
LLM,Intellectual Property Law,"Problem Solving, Communication",None,6.6,2026,1,IP Consultant
BBA,Human Resources,"Employee Relations, HRIS, Recruitment",SHRM-CP,7.12,2026,1,HR Manager
M.Arch,Urban Planning,"Problem Solving, Communication",None,6.54,2025,1,Urban Planner
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,8.79,2026,1,Surgeon
PhD,Mathematics,"Tableau, Excel, Statistics, Python",None,7.53,2025,1,Data Analyst
B.Com,Finance,"Auditing, Excel, Taxation, Tally",Financial Modeling,9.78,2025,1,Accountant
B.Com,Accounting,"Auditing, QuickBooks, Excel, Taxation",None,7.43,2023,0,Accountant
B.Pharm,Pharmacy,"Drug Safety, Dispensing, Pharmacology",None,6.65,2025,1,Pharmacist
M.Com,Finance,"Valuation, Accounting, SAP",None,5.68,2024,1,Financial Analyst
MBA,Business Analytics,"Tableau, Statistics, Python, Power BI",Power BI Data Analyst,5.34,2026,0,Data Analyst
M.Com,Accounting,"Problem Solving, Communication",None,5.6,2026,0,Auditor
MBBS,Pediatrics,"Problem Solving, Communication",None,7.82,2026,0,Pediatrician
LLM,Intellectual Property Law,"Problem Solving, Communication",None,8.11,2026,0,IP Consultant
PhD,Biotechnology,"Problem Solving, Communication",None,5.6,2026,1,Research Associate
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.57,2027,0,Sustainable Design Consultant
BCA,Computer Applications,"Problem Solving, Communication",None,6.92,2027,0,System Admin
B.Pharm,Pharmacy,"Problem Solving, Communication",None,7.68,2026,0,Drug Safety Associate
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Dispensing, Pharmacology",None,9.43,2026,0,Pharmacist
M.Com,Finance,"Financial Modeling, Valuation, Accounting, SAP",CPA,8.58,2027,1,Financial Analyst
B.Pharm,Pharmaceutical Chemistry,"Problem Solving, Communication",None,7.18,2023,1,Pharmaceutical Chemist
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.43,2024,1,Green Building Analyst
LLM,Intellectual Property Law,"Problem Solving, Communication",None,5.0,2027,1,IP Consultant
BA,History,"Problem Solving, Communication",None,6.64,2023,1,Archivist
M.Com,Accounting,"Problem Solving, Communication",None,7.25,2026,1,Auditor
M.Com,Accounting,"Problem Solving, Communication",None,6.32,2024,1,Auditor
BBA,Human Resources,"Problem Solving, Communication",None,7.34,2025,1,Recruitment Specialist
B.Tech,Electronics Engineering,"Microcontrollers, IoT, Embedded Systems, Verilog, PCB Design",None,7.59,2025,1,Electronics Engineer
MBA,Marketing,"Content Strategy, Google Analytics, Digital Marketing, CRM, SEO",Google Ads,7.23,2025,0,Marketing Manager
B.Com,Finance,"Auditing, Excel, Communication, Tally",CFA,6.72,2024,0,Accountant
B.Tech,Data Science,"Pandas, Machine Learning, Big Data, R",Google Data Analytics,7.7,2026,1,Data Scientist
M.Arch,Urban Planning,"Problem Solving, Communication",None,8.03,2025,1,Urban Planner
B.Tech,Electrical Engineering,"PLC, Circuit Design, Power Systems, MATLAB, SCADA",None,6.19,2025,0,Electrical Engineer
BBA,Finance,"Financial Analysis, Excel, Portfolio Management, Equity Research",Financial Modeling,9.19,2026,0,Investment Analyst
MCA,Computer Applications,"WordPress, HTML, React, CSS",None,7.38,2026,0,Web Developer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,7.52,2024,1,Sustainable Design Consultant
B.Arch,Interior Design,"AutoCAD, Color Theory, Material Selection, Space Planning",None,8.35,2024,0,Interior Designer
PhD,Biotechnology,"Problem Solving, Communication",None,7.78,2024,1,Biotech Consultant
MBA,Finance,"Excel, Portfolio Management, Equity Research",Financial Modeling,8.64,2024,1,Investment Analyst
MBA,Finance,"Excel, Accounting, Financial Modeling, Valuation, SAP",None,7.84,2024,1,Financial Analyst
BCA,Computer Applications,"React, Communication, JavaScript, WordPress, HTML, PHP",None,6.77,2027,1,Web Developer
MBBS,Surgery,"Anatomy, Patient Care, Medical Ethics, Surgery, Communication",None,7.93,2027,0,Surgeon
B.Sc,Mathematics,"R, Probability, Statistical Modeling, SAS, Communication",None,6.13,2023,1,Statistician
MA,English,"Blogging, Research, Creative Writing, Communication, SEO",None,7.63,2026,1,Content Writer
B.Sc,Physics,"Data Analysis, Technical Writing, Lab Techniques, Research, Communication",None,7.46,2025,1,Research Scientist
B.Tech,Computer Science,"Algorithms, Java, SQL, Data Structures, Communication",Oracle Java,7.25,2027,0,Software Engineer
B.Tech,Computer Science,"Communication, React, CSS, JavaScript",None,7.35,2026,1,Full Stack Developer
BCA,Computer Applications,".NET, Java, C#, Object Oriented Programming",None,5.24,2025,1,Software Developer
B.Tech,Electronics Engineering,"Problem Solving, Communication",None,6.84,2024,1,Embedded Systems Engineer
BCA,Computer Applications,"React, CSS, JavaScript, WordPress, Communication",None,7.61,2026,0,Web Developer
B.Com,Accounting,"Auditing, QuickBooks, Communication, Tally",None,7.69,2027,1,Accountant
BCA,Computer Applications,"Problem Solving, Communication",None,6.27,2026,0,System Admin
M.Sc,Biotechnology,"Problem Solving, Communication",None,9.02,2023,0,Lab Manager
B.Arch,Interior Design,"Space Planning, Material Selection, AutoCAD, SketchUp",None,6.46,2024,1,Interior Designer
BA,History,"Problem Solving, Communication",None,8.66,2026,1,Archivist
MBBS,Pediatrics,"Problem Solving, Communication",None,8.01,2026,1,Medical Officer
MBBS,Surgery,"Medical Ethics, Anatomy, Surgery, Patient Care",None,6.72,2023,1,Surgeon
M.Arch,Sustainable Design,"Problem Solving, Communication",None,9.63,2027,0,Sustainable Design Consultant
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL, Communication",None,6.07,2026,0,Software Developer
PhD,Biotechnology,"Problem Solving, Communication",None,8.6,2024,1,Lab Manager
LLB,Criminal Law,"Evidence, Criminal Law, Litigation",None,8.7,2025,1,Criminal Lawyer
B.Sc,Chemistry,"Problem Solving, Communication",None,6.7,2026,0,Lab Technician
B.Tech,Data Science,"Problem Solving, Communication",Azure Data Scientist,9.17,2025,1,Data Engineer
B.Com,Banking,"Financial Analysis, Excel, Portfolio Management, Equity Research, Communication",None,7.2,2026,0,Investment Analyst
BCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.85,2026,0,Software Developer
B.Sc,Chemistry,"Organic Chemistry, Spectroscopy, Lab Safety, Chromatography, Communication",None,7.81,2025,1,Chemist
BCA,Computer Applications,".NET, C#, Java, SQL, Communication",None,7.34,2026,0,Software Developer
MBA,Human Resources,"Employee Relations, Conflict Resolution, Communication, Recruitment",SHRM-CP,8.47,2025,0,HR Manager
MBBS,Pediatrics,"Problem Solving, Communication",None,8.45,2025,0,Pediatrician
PhD,Mathematics,"Excel, Tableau, Python, SQL, Statistics",None,5.4,2025,0,Data Analyst
MA,Psychology,"Counseling, Behavioral Analysis, Research, Psychotherapy, Communication",None,9.07,2023,1,Psychologist
B.Tech,Electronics Engineering,"Microcontrollers, IoT, Embedded Systems, Verilog, PCB Design",None,5.51,2027,1,Electronics Engineer
MA,Sociology,"Problem Solving, Communication",None,8.74,2024,1,Social Researcher
BA,Psychology,"Research, Behavioral Analysis, Psychotherapy, Communication",None,8.85,2024,1,Psychologist
MBBS,General Medicine,"Health Promotion, Diagnosis, Patient Care, Medicine",None,6.19,2026,0,General Practitioner
BA,History,"Classroom Management, Subject Knowledge, Curriculum Design, Communication",None,7.01,2023,1,Teacher
B.Tech,Computer Science,"C++, Communication, Java, SQL, Data Structures, Algorithms",None,6.17,2027,1,Software Engineer
B.Sc,Statistics,"Excel, Tableau, Python, Statistics, Communication, Power BI",None,7.24,2027,0,Data Analyst
B.Tech,Mechanical Engineering,"Design, Sketching, Pro-E, CATIA",None,7.13,2027,1,Design Engineer
M.Sc,Statistics,"Excel, Tableau, SQL, Communication, Power BI",None,8.44,2024,1,Data Analyst
PhD,Mathematics,"SAS, SPSS, Probability",None,9.07,2025,1,Statistician
M.Sc,Statistics,"SQL, Python, Power BI",None,9.17,2025,1,Data Analyst
MA,English,"Problem Solving, Communication",None,6.83,2024,1,Editor
LLM,Corporate Law,"Problem Solving, Communication",None,7.25,2026,0,Legal Advisor
PhD,Mathematics,"SAS, SPSS, Probability, R",None,5.48,2024,1,Statistician
MBA,Human Resources,"Payroll, HRIS, Conflict Resolution, Recruitment",PHR,6.53,2026,1,HR Manager
MBA,Business Analytics,"SQL, Tableau, Statistics, Power BI",Power BI Data Analyst,8.66,2026,1,Data Analyst
B.Com,Banking,"Excel, Portfolio Management, Equity Research",None,9.44,2023,1,Investment Analyst
BBA,Business Analytics,"SQL, Tableau, Python, Power BI",None,6.02,2025,0,Data Analyst
M.Sc,Physics,"SQL, Excel, Statistics, Power BI",None,6.79,2023,0,Data Analyst
MCA,Computer Applications,"Java, C#, Object Oriented Programming",None,7.47,2026,1,Software Developer
B.Tech,Computer Science,"Communication, HTML, CSS, JavaScript",None,7.84,2025,1,Full Stack Developer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.53,2024,1,Sustainable Design Consultant
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology, Drug Safety",None,8.01,2024,1,Pharmacist
B.Arch,Architecture,"AutoCAD, 3D Modeling, SketchUp, Building Codes",None,6.93,2026,1,Architect
BA,History,"Problem Solving, Communication",None,7.48,2027,1,Researcher
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.16,2024,1,Green Building Analyst
MCA,Computer Applications,"SQL, Java, Object Oriented Programming",None,7.51,2026,0,Software Developer
M.Tech,Data Science,"Pandas, Machine Learning, Python, Big Data",Azure Data Scientist,6.98,2025,0,Data Scientist
B.Sc,Mathematics,"Tableau, Python, SQL, Statistics, Power BI",None,7.37,2025,0,Data Analyst
M.Tech,Mechanical Engineering,"Pro-E, CATIA, Sketching, AutoCAD, Design",None,7.39,2025,1,Design Engineer
M.Arch,Urban Planning,"Problem Solving, Communication",None,7.06,2024,1,Urban Planner
M.Sc,Statistics,"Excel, Statistics, Power BI",None,7.19,2026,1,Data Analyst
BA,English,"Editing, Blogging, Creative Writing, Research, Communication, SEO",None,9.42,2024,1,Content Writer
BA,Psychology,"Research, Counseling, Psychotherapy",None,8.17,2023,0,Psychologist
PhD,Physics,"Research, Lab Techniques, Data Analysis, Technical Writing",None,7.15,2026,0,Research Scientist
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology, Drug Safety",None,8.34,2025,0,Pharmacist
BCA,Computer Applications,".NET, C#, Object Oriented Programming",None,7.1,2025,1,Software Developer
MBBS,Surgery,"Medical Ethics, Patient Care, Anatomy, Surgery",None,8.91,2023,1,Surgeon
MCA,Computer Applications,"Problem Solving, Communication",None,7.94,2025,1,System Admin
MCA,Computer Applications,"Object Oriented Programming, .NET, C#, Java, SQL",None,7.37,2025,1,Software Developer
MCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,8.04,2025,0,Software Developer
M.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Ansys, Thermodynamics, Manufacturing",None,5.61,2027,0,Mechanical Engineer
LLB,Criminal Law,"Communication, Evidence, Criminal Law, Litigation",None,6.15,2023,0,Criminal Lawyer
MCA,Computer Applications,"C#, SQL, .NET, Object Oriented Programming",None,6.07,2025,1,Software Developer
B.Tech,Electronics Engineering,"Embedded Systems, PCB Design, Verilog, IoT",None,7.67,2025,1,Electronics Engineer
M.Sc,Data Science,"Python, Machine Learning, Data Visualization, Big Data",Azure Data Scientist,9.58,2026,0,Data Scientist
LLM,Corporate Law,"Contract Law, Compliance, Corporate Law",None,9.9,2024,0,Corporate Lawyer
PhD,Mathematics,"Probability, Statistical Modeling, SAS, SPSS, R",None,8.27,2025,0,Statistician
B.Arch,Architecture,"SketchUp, AutoCAD, Revit, 3D Modeling, Communication, Building Codes",None,8.1,2026,0,Architect
MBA,Finance,"Valuation, Excel, SAP",CFA,5.34,2027,1,Financial Analyst
LLM,Corporate Law,"Problem Solving, Communication",None,6.85,2025,1,Legal Advisor
B.Arch,Interior Design,"Space Planning, Color Theory, Material Selection, AutoCAD",None,6.55,2026,1,Interior Designer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,6.75,2024,0,Sustainable Design Consultant
M.Sc,Physics,"SQL, Python, Communication, Power BI",None,7.3,2026,0,Data Analyst
B.Arch,Interior Design,"AutoCAD, Material Selection, Space Planning, SketchUp",None,6.93,2026,1,Interior Designer
B.Com,Finance,"Tally, Taxation, Auditing, QuickBooks, Communication",Financial Modeling,5.12,2027,1,Accountant
B.Pharm,Pharmacy,"Patient Counseling, Dispensing, Pharmacology, Communication",None,8.4,2024,0,Pharmacist
MBA,Operations,"Problem Solving, Communication",None,6.21,2026,0,Supply Chain Analyst
PhD,Computer Science,"C++, SQL, Java",None,7.79,2024,1,Software Engineer
M.Sc,Biotechnology,"Problem Solving, Communication",None,9.9,2024,0,Lab Manager
M.Sc,Chemistry,"Organic Chemistry, Chromatography, Lab Safety, Spectroscopy",None,6.4,2025,0,Chemist
MBA,Finance,"Financial Modeling, Valuation, Accounting, SAP",Financial Modeling,5.0,2026,0,Financial Analyst
B.Arch,Architecture,"Revit, AutoCAD, Building Codes",None,7.16,2024,0,Architect
LLB,Corporate Law,"Drafting, Contract Law, Mergers, Compliance",None,8.82,2024,1,Corporate Lawyer
BA,Psychology,"Research, Counseling, Psychotherapy, Behavioral Analysis",None,9.85,2025,1,Psychologist
B.Arch,Interior Design,"AutoCAD, Color Theory, Space Planning, Communication",None,6.02,2024,0,Interior Designer
M.Sc,Chemistry,"Lab Safety, Chromatography, Spectroscopy",None,8.1,2023,1,Chemist
B.Pharm,Pharmacy,"Drug Safety, Patient Counseling, Pharmacology",None,6.94,2027,1,Pharmacist
BCA,Computer Applications,"SQL, Java, C#, Object Oriented Programming",None,7.37,2027,1,Software Developer
M.Tech,Data Science,"Excel, Tableau, Python, Statistics, Power BI",None,9.9,2024,0,Data Analyst
B.Com,Accounting,"Auditing, QuickBooks, Communication, Tally",None,5.7,2025,0,Accountant
MBBS,Pediatrics,"Problem Solving, Communication",None,7.8,2023,0,Pediatrician
MA,Psychology,"Problem Solving, Communication",None,8.06,2025,1,Counselor
B.Arch,Interior Design,"Space Planning, Color Theory, Material Selection, AutoCAD",None,8.8,2026,1,Interior Designer
B.Pharm,Pharmacy,"Problem Solving, Communication",None,7.62,2026,1,Drug Safety Associate
BA,Psychology,"Problem Solving, Communication",None,7.87,2026,0,Counselor
MA,Psychology,"Research, Counseling, Psychotherapy, Communication",None,7.03,2024,1,Psychologist
B.Pharm,Pharmacy,"Pharmacology, Drug Safety, Patient Counseling, Dispensing, Communication",None,7.82,2024,1,Pharmacist
BBA,Finance,"Accounting, Financial Modeling, Valuation, SAP, Communication",None,7.09,2024,0,Financial Analyst
M.Tech,Mechanical Engineering,"SolidWorks, AutoCAD, Ansys, Thermodynamics, Manufacturing",None,8.25,2026,1,Mechanical Engineer
BCA,Computer Applications,"PHP, JavaScript, WordPress, HTML, Communication",None,7.06,2023,0,Web Developer
B.Arch,Interior Design,"AutoCAD, Color Theory, Space Planning, SketchUp",None,7.95,2027,1,Interior Designer
MCA,Computer Applications,"React, CSS, JavaScript",None,7.46,2027,1,Web Developer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.85,2025,0,Sustainable Design Consultant
B.Sc,Data Science,"Tableau, Statistics, Python",Azure Data Scientist,7.44,2026,1,Data Analyst
PhD,Mathematics,"SQL, Statistics, Power BI",None,5.37,2026,1,Data Analyst
MCA,Computer Applications,"Object Oriented Programming, C#, .NET, Java, SQL",None,9.01,2026,0,Software Developer
B.Tech,Computer Science,"Communication, Go, Java, SQL",Google Cloud,6.41,2025,0,Backend Developer
LLB,Criminal Law,"Evidence, Criminal Law, Court Procedures, Litigation",None,6.72,2026,1,Criminal Lawyer
M.Tech,Computer Science,"C++, SQL, Java",Google Cloud,6.79,2026,1,Software Engineer
BCA,Computer Applications,"C#, .NET, Object Oriented Programming, Communication",None,9.15,2023,0,Software Developer
BBA,Human Resources,"Problem Solving, Communication",None,5.0,2024,0,Recruitment Specialist
M.Tech,Computer Science,"C++, SQL, Java, Algorithms",None,9.9,2025,1,Software Engineer
M.Arch,Sustainable Design,"Problem Solving, Communication",None,8.77,2025,1,Sustainable Design Consultant
